Codigo,Descripcion,PRECIO1,PRECIO2,PRECIO3,PRECIO4,PRECIO5,PRECIO6,PRECIO7,PRECIO8,PRECIO9,PRECIO10
COCN0022,C. CONTELAC 16 ENERGIA H.,81271.7033,78899.56044,75577.47368,77849.73684,71955,0,0,0,0,0
COCN0023,C. CONTELAC 16 ENERGIA P.,82315.65934,79910.54945,76545.89474,78849.73684,72955,0,0,0,0,0
COCN0022,C. CONTELAC 16 H.,78375.76923,76095.07692,72891.07368,75075.73684,69181,0,0,0,0,0
COCN0023,C. CONTELAC 16 P.,79419.72527,77106.06593,73859.49474,76075.73684,70181,0,0,0,0,0
COCN0001,C.CONTELAC 18 H.,86342.1978,83809.93407,80281.09474,82706.73684,76812,0,0,0,0,0
COCN0002,C.CONTELAC 18 P.,87386.15385,84820.92308,81249.51579,83706.73684,77812,0,0,0,0,0
COCN0010,C.PRELACTANCIA P.,90029.45055,87380.74725,83701.55789,86238.73684,80344,0,0,0,0,0
COCN0008,"C, MAXILECHE GOLD H",90300.87912,87643.6044,83953.34737,86498.73684,80604,0,0,0,0,0
COCN0020,C.LECHE IMPERIAL H.,99597.30769,96646.46154,92577.13684,95403.73684,89509,0,0,0,0,0
COCN0026 ,C.PECES 25 E.,129957.6374,126048.044,120740.7579,124485.7368,118591,0,0,0,0,0
COCN0019,C.MAXI-TRUCHAS 45 SP 3.5mm E,211765.1648,205272.1758,196629.1368,202848.7368,196954,0,0,0,0,0
COCN0003,T.FORRAJE GANADERIA H.,64419.12088,62579.16484,59944.25263,61706.73684,55812,0,0,0,0,0
COCN0004,T.FORRAJE GANADERIA P.,65463.07692,63590.15385,60912.67368,62706.73684,56812,0,0,0,0,0
COIT0017,SUPERNOVILLAS,77787.23404,76166.66667,75381.4433,75381.4433,69608.24742,0,0,0,0,0
COIT0002,ITAL LECHE 4.500 HARINA,62808.51064,61500,60865.97938,60865.97938,55092.78351,0,0,0,0,0
COIT0071,ITAL LECHE 5.500 HARINA,70042.55319,68583.33333,67876.28866,67876.28866,62103.09278,0,0,0,0,0
COIT0064,ITAL LECHE 5.500 PELETIZADO,70680.85106,69208.33333,68494.84536,68494.84536,62721.64948,0,0,0,0,0
COIT0003,ITAL LECHE 6.000 PELET,83063.82979,81333.33333,80494.84536,80494.84536,74721.64948,0,0,0,0,0
COIT0026,ITAL LECHE 7.000 PELET,88893.61702,87041.66667,86144.3299,86144.3299,80371.13402,0,0,0,0,0
COIT0036,ITAL LECHE 9.000 PELET,90978.7234,89083.33333,88164.94845,88164.94845,82391.75258,0,0,0,0,0
COIT0065,MULTIORDEÑO FI,49191.48936,48166.66667,47670.10309,47670.10309,41896.90722,0,0,0,0,0
